RANK,BATTLES,WIN,LOSE,DRAW,SCORE
1,268,263,4,1,850
2,326,317,8,1,811
3,351,309,34,8,643
4,228,203,22,3,611
5,149,136,11,2,605
6,138,118,19,1,541
7,136,117,15,4,532
8,125,102,20,3,502
9,85,76,7,2,499
10,67,60,7,0,480
11,122,98,23,1,468
12,105,92,13,0,448
13,193,135,52,6,444
14,159,106,48,5,438
15,336,243,84,9,435
16,137,106,25,6,432
17,82,63,13,6,403
18,262,184,75,3,385
19,152,105,44,3,384
20,49,43,2,4,381
20,176,119,56,1,381
21,58,55,3,0,378
22,41,38,2,1,374
23,200,135,61,4,371
24,123,88,35,0,364
25,168,105,58,5,361
26,108,81,24,3,357
27,63,48,13,2,355
28,110,73,35,2,353
29,135,101,31,3,352
30,130,86,41,3,349
30,80,55,24,1,349
31,106,74,30,2,347
32,53,44,9,0,345
33,135,89,40,6,343
34,144,88,51,5,341
35,121,78,36,7,340
35,75,53,19,3,340
36,126,81,41,4,338
37,78,53,21,4,336
38,51,38,13,0,334
39,90,60,26,4,333
40,127,89,38,0,332
41,75,50,24,1,331
42,90,51,28,11,330
43,91,59,31,1,329
43,114,76,36,2,329
44,182,116,63,3,326
45,115,78,36,1,325
45,57,41,16,0,325
46,100,63,35,2,324
47,61,42,18,1,323
48,52,38,13,1,322
48,121,82,36,3,322
49,182,110,70,2,320
49,149,98,49,2,320
50,130,65,61,4,319
50,54,39,12,3,319
51,193,125,64,4,318
51,71,49,19,3,318
51,100,61,36,3,318
52,120,84,33,3,313
52,112,72,37,3,313
53,94,63,27,4,311
54,158,96,55,7,308
55,261,158,102,1,307
56,37,30,6,1,304
57,128,76,51,1,303
58,127,80,46,1,302
59,78,49,26,3,301
59,111,68,39,4,301
60,95,55,38,2,299
61,56,35,17,4,298
62,54,41,11,2,297
63,90,59,29,2,295
64,178,104,71,3,294
64,193,119,65,9,294
65,121,61,34,26,291
66,74,49,22,3,290
67,229,126,101,2,288
68,76,50,23,3,287
68,55,36,19,0,287
68,126,77,46,3,287
68,74,47,26,1,287
68,111,73,36,2,287
69,111,69,41,1,285
69,58,38,17,3,285
70,60,40,17,3,284
71,104,67,34,3,283
72,62,40,20,2,282
72,69,46,22,1,282
73,47,34,11,2,280
73,52,37,15,0,280
73,189,108,75,6,280
74,78,51,24,3,279
74,147,90,53,4,279
75,98,63,33,2,278
75,70,45,22,3,278
76,140,82,55,3,276
77,73,41,28,4,275
78,120,72,43,5,274
79,144,81,58,5,273
80,176,98,76,2,272
80,150,101,40,9,272
81,44,33,9,2,271
81,197,114,72,11,271
82,145,84,59,2,268
83,183,102,76,5,267
83,80,36,44,0,267
84,46,29,16,1,266
84,110,63,43,4,266
84,160,88,70,2,266
84,37,25,8,4,266
85,149,82,59,8,264
85,110,66,42,2,264
86,94,55,38,1,262
87,106,68,36,2,261
87,95,58,36,1,261
88,101,60,41,0,260
88,45,31,12,2,260
88,39,26,12,1,260
88,315,171,141,3,260
89,72,45,26,1,259
90,43,29,10,4,258
90,26,22,4,0,258
91,59,38,20,1,257
91,283,166,102,15,257
91,67,38,29,0,257
91,128,79,46,3,257
91,172,96,72,4,257
92,60,34,23,3,256
92,34,26,8,0,256
92,70,44,24,2,256
92,61,39,21,1,256
92,336,192,143,1,256
93,92,56,34,2,255
94,68,41,26,1,254
94,132,72,57,3,254
94,82,47,32,3,254
94,174,103,64,7,254
95,133,74,58,1,253
95,156,87,66,3,253
95,91,51,37,3,253
96,41,27,12,2,252
96,26,20,5,1,252
96,88,51,34,3,252
96,38,26,12,0,252
97,69,41,27,1,251
97,279,152,121,6,251
97,48,31,15,2,251
97,54,34,19,1,251
97,400,215,173,12,251
97,52,35,14,3,251
98,77,54,22,1,250
98,154,84,67,3,250
98,144,80,58,6,250
99,60,37,22,1,249
99,166,90,72,4,249
100,34,24,10,0,248
100,76,42,32,2,248
100,40,28,12,0,248
100,119,66,50,3,248
100,179,95,82,2,248
101,81,34,44,3,247
101,180,99,78,3,247
101,19,19,0,0,247
101,297,159,132,6,247
101,108,62,45,1,247
102,18,17,1,0,246
102,54,33,21,0,246
103,81,45,34,2,245
104,60,39,20,1,244
104,186,119,61,6,244
104,110,72,34,4,244
104,54,35,18,1,244
104,58,36,22,0,244
104,286,151,125,10,244
105,35,26,9,0,242
105,94,50,43,1,242
105,100,56,42,2,242
