RANK,BATTLES,WIN,LOSE,DRAW,SCORE
265,27,19,8,0,219
266,134,75,57,2,218
267,83,47,36,0,218
268,85,47,36,2,218
269,70,39,30,1,218
270,54,33,21,0,218
271,30,20,10,0,218
272,117,64,51,2,217
273,91,50,37,4,217
274,83,44,36,3,217
275,60,36,19,5,217
276,40,27,13,0,217
277,34,23,9,2,217
278,37,23,12,2,217
279,280,159,113,8,216
280,258,133,116,9,216
281,102,55,47,0,216
282,92,54,37,1,216
283,104,53,47,4,216
284,62,34,22,6,216
285,52,31,21,0,216
286,41,27,14,0,216
287,366,203,149,14,215
288,349,188,154,7,215
289,188,105,77,6,215
290,199,103,94,2,215
291,166,85,78,3,215
292,94,51,41,2,215
293,78,48,27,3,215
294,48,28,19,1,215
295,42,27,15,0,215
296,44,27,17,0,215
297,38,26,12,0,215
298,41,24,17,0,215
299,22,17,4,1,215
300,20,15,5,0,215
