RANK,BATTLES,WIN,LOSE,DRAW,SCORE
1,362,326,29,7,726
2,242,202,39,1,642
3,287,243,37,7,630
4,121,115,4,2,620
5,158,137,17,4,618
6,120,110,8,2,610
7,205,159,42,4,521
8,117,98,18,1,508
9,102,88,11,3,463
10,71,66,4,1,441
11,109,85,18,6,439
12,149,118,30,1,429
13,76,65,7,4,423
14,114,81,28,5,401
15,113,80,29,4,395
16,173,123,47,3,389
17,66,54,10,2,382
18,59,47,10,2,381
19,62,47,12,3,373
20,106,71,30,5,370
21,67,54,10,3,369
21,81,62,14,5,369
22,84,63,21,0,367
23,243,155,81,7,366
24,101,75,22,4,362
25,85,61,21,3,359
26,67,48,19,0,356
27,90,62,28,0,354
28,46,38,8,0,351
29,82,56,23,3,349
30,105,70,32,3,347
30,119,82,32,5,347
31,148,96,49,3,345
32,171,103,62,6,344
33,74,51,21,2,341
33,71,50,19,2,341
34,62,45,15,2,339
35,57,47,8,2,337
36,31,29,1,1,336
37,410,241,154,15,335
38,152,110,40,2,333
39,130,78,49,3,328
40,216,123,86,7,325
41,57,38,18,1,324
42,92,63,27,2,319
43,139,93,43,3,314
44,46,37,7,2,313
44,34,26,7,1,313
45,153,101,50,2,311
46,66,48,18,0,310
47,154,95,55,4,309
48,44,34,9,1,307
49,56,42,14,0,305
50,44,36,7,1,303
51,37,30,7,0,302
52,75,53,21,1,299
53,179,103,72,4,298
53,29,26,3,0,298
53,190,115,73,2,298
54,277,175,98,4,297
55,120,73,44,3,292
55,70,45,23,2,292
56,35,27,8,0,290
56,69,47,20,2,290
57,171,91,79,1,289
57,290,163,120,7,289
57,157,88,63,6,289
58,37,32,5,0,288
59,204,115,85,4,286
59,60,43,16,1,286
60,65,37,27,1,285
60,129,78,45,6,285
61,43,33,10,0,283
62,64,40,24,0,282
63,122,77,40,5,281
64,89,59,29,1,280
64,96,57,37,2,280
64,62,41,21,0,280
65,50,34,15,1,279
65,64,39,24,1,279
66,113,69,37,7,278
66,84,52,27,5,278
66,305,167,135,3,278
67,47,28,9,10,277
68,51,34,16,1,276
69,41,28,11,2,274
70,58,36,20,2,273
71,149,84,61,4,272
72,36,27,8,1,271
72,95,58,36,1,271
73,216,124,89,3,269
74,36,28,7,1,268
74,115,55,24,36,268
74,249,151,94,4,268
74,61,42,19,0,268
75,51,35,15,1,267
75,66,43,16,7,267
76,24,21,2,1,265
76,58,38,20,0,265
77,131,80,45,6,264
77,54,37,15,2,264
77,125,71,53,1,264
78,29,24,5,0,263
78,53,34,16,3,263
79,59,40,18,1,262
79,127,71,51,5,262
79,74,46,27,1,262
80,85,51,31,3,261
80,224,125,93,6,261
80,385,200,180,5,261
81,54,39,14,1,260
81,52,35,16,1,260
81,64,37,25,2,260
82,54,33,20,1,259
82,42,29,11,2,259
82,60,36,22,2,259
82,225,100,120,5,259
82,148,83,61,4,259
83,84,55,29,0,258
83,35,25,9,1,258
83,51,32,17,2,258
84,30,24,4,2,257
85,34,26,8,0,256
85,28,22,6,0,256
85,98,59,38,1,256
85,117,65,49,3,256
86,119,67,51,1,255
86,59,35,22,2,255
87,71,41,28,2,254
87,60,40,20,0,254
88,117,61,48,8,253
88,131,74,54,3,253
89,105,60,42,3,252
89,50,35,15,0,252
89,34,21,11,2,252
89,118,67,50,1,252
89,156,86,67,3,252
90,181,77,35,69,250
90,29,21,8,0,250
90,29,21,8,0,250
90,79,47,31,1,250
91,157,85,69,3,249
91,98,57,40,1,249
92,24,21,3,0,248
92,56,35,17,4,248
92,194,111,79,4,248
92,84,46,32,6,248
92,147,79,66,2,248
92,241,129,108,4,248
93,41,28,13,0,247
93,87,51,34,2,247
93,70,44,23,3,247
93,168,88,80,0,247
93,63,41,19,3,247
94,65,36,27,2,246
94,62,38,24,0,246
95,25,21,2,2,245
95,88,46,41,1,245
95,66,41,25,0,245
96,60,36,21,3,244
96,125,80,43,2,244
96,78,46,30,2,244
97,62,39,23,0,243
97,28,20,6,2,243
97,74,40,30,4,243
98,41,26,15,0,241
98,67,39,26,2,241
98,165,89,72,4,241
98,72,41,28,3,241
99,122,69,53,0,240
99,16,15,1,0,240
99,82,46,33,3,240
99,56,34,21,1,240
99,223,124,98,1,240
99,57,38,19,0,240
100,150,87,60,3,239
100,42,26,15,1,239
100,165,92,68,5,239
100,83,46,33,4,239
100,130,68,60,2,239
101,55,37,18,0,238
101,90,58,30,2,238
101,112,64,45,3,238
101,99,57,39,3,238
